;Tool  Pocket X Offset     Y Offset     Z Offset     Diameter     Remark
T253   P253   X+0.000000   Y+0.000000   Z+0.000000   D+50.000000  ; Inserts: RCGT1204MOE-Ak (Korloy) A - EMRW 6R50-22 (oJxBPC)
T254   P254   X+0.000000   Y+0.000000   Z+0.000000   D+12.000000  ; PROTESS BAP300R C12-12-130-1T A - BAP300R C12-12-130-1t (oFbyaV)
T255   P255   X+0.000000   Y+0.000000   Z+0.000000   D+17.000000  ; MZG A - EMRC16-4R17-150-2T (yTwjJ0)
T256   P256   X+0.000000   Y+0.000000   Z+0.000000   D+16.000000  ; PROTESS BAP300R C12-12-130-1T A - BAP300R C12-12-130-1t (cSnOF3)
T257   P257   X+0.000000   Y+0.000000   Z+0.000000   D+20.000000  ; MBC A - EM90 D20 W20 L100 Z03 AP..1003 (JAvU84)
T258   P258   X+0.000000   Y+0.000000   Z+0.000000   D+45.000000  ; Inserts: SEHT1204 AFFN X83 H01  (Korloy) A - KM12-50-22-4T Blue Al Holder (NhR0Bh)
T260   P260   X+0.000000   Y+0.000000   Z+0.000000   D+3.300000   ; A - VHM Drill 3,3mm M4 (nyGmua)
T261   P261   X+0.000000   Y+0.000000   Z+0.000000   D+4.200000   ; Random A - VHM Drill 4.2mm (M5) (YiiocL)
T262   P262   X+0.000000   Y+0.000000   Z+0.000000   D+4.500000   ; Random A - VHM Drill 4.5mm (G3taaT)
T263   P263   X+0.000000   Y+0.000000   Z+0.000000   D+5.000000   ; Random A - VHM Drill 5mm (M6) (kM3KyS)
T264   P264   X+0.000000   Y+0.000000   Z+0.000000   D+5.500000   ; Random A - VHM Drill 5.5mm (gUHNxa)
T265   P265   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; BB A - CNC Reamer 6mm h7 (YCj7DV)
T266   P266   X+0.000000   Y+0.000000   Z+0.000000   D+5.800000   ; BB A - VHM 5,8mm DLC (u3isfE)
T267   P267   X+0.000000   Y+0.000000   Z+0.000000   D+2.500000   ; A - HSS Drill 2,5mm M3 (Amb3Sf)
T268   P268   X+0.000000   Y+0.000000   Z+0.000000   D+5.500000   ; Random A - VHM Drill 5.5mm 80mm (mDwqVp)
T269   P269   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; Random A - VHM Drill 6mm 100mm (PA3yEb)
T270   P270   X+0.000000   Y+0.000000   Z+0.000000   D+4.000000   ; BB A - CNC Reamer 4mm h7 (UWP7Oa)
T290   P290   X+0.000000   Y+0.000000   Z+0.000000   D+2.000000   ; A - VHM Micro Drill 2mm  (UJ3SI6)
T291   P291   X+0.000000   Y+0.000000   Z+0.000000   D+1.000000   ; A - VHM Micro Drill 1mm  (9edZd9)
T292   P292   X+0.000000   Y+0.000000   Z+0.000000   D+0.800000   ; A - VHM Micro Drill 0,8mm  (okhr9a)
T293   P293   X+0.000000   Y+0.000000   Z+0.000000   D+0.500000   ; A - VHM Micro Drill 0,5mm  (ghbH8u)
T301   P301   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; Hoffmann S - HOLEX Pro steel 6mm  (8nK0Aw)
T302   P302   X+0.000000   Y+0.000000   Z+0.000000   D+10.000000  ; Hoffmann S - HOLEX Pro Steel 10mm (pKuEGJ)
T303   P303   X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; Hoffmann S - HOLEX Pro Steel 8mm (cVorzS)
T304   P304   X+0.000000   Y+0.000000   Z+0.000000   D+4.000000   ; ZGT S - ZGT Endmill 4mm (dssTQP)
T305   P305   X+0.000000   Y+0.000000   Z+0.000000   D+5.000000   ; ZGT S - ZGT Endmill 5mm (pYV4w1)
T306   P306   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; ZGT S - ZGT Endmill 6mm (kCayfA)
T307   P307   X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; ZGT S - ZGT Endmill 8mm (73uY99)
T308   P308   X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; Dreanique S - P4C-D8.0 Serrated Endmill TiAIN (PGb2xH)
T309   P309   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; Dreanique S - P4C-D6.0 Serrated Endmill TiAIN (9kVjft)
T310   P310   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; Dreanique S - P4CL-D6.0 Serrated Endmill Extended TiAIN (nzUpWn)
T311   P311   X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; AM Zerspanungstechnik S - 8x25x75 TIAlN (s5esF9)
T312   P312   X+0.000000   Y+0.000000   Z+0.000000   D+8.000000   ; Hoffmann S - 8x32 Hoffmann 203056 8 (pfIhHd)
T320   P320   X+0.000000   Y+0.000000   Z+0.000000   D+2.500000   ; AM Zerspanungstechnik S - VHM 2,5mm TiSin (WIydRh)
T321   P321   X+0.000000   Y+0.000000   Z+0.000000   D+3.500000   ; AM Zerspanungstechnik S - VHM 3,5mm TiSin (S3BBir)
T322   P322   X+0.000000   Y+0.000000   Z+0.000000   D+4.500000   ; AM Zerspanungstechnik S - VHM 4,5mm TiSin (boMzFC)
T323   P323   X+0.000000   Y+0.000000   Z+0.000000   D+5.500000   ; AM Zerspanungstechnik S - VHM 5,5mm TiSin (KY45yQ)
T324   P324   X+0.000000   Y+0.000000   Z+0.000000   D+3.300000   ; AM Zerspanungstechnik S - VHM 3,3 mm TiSiN (M4) (EVrvxb)
T325   P325   X+0.000000   Y+0.000000   Z+0.000000   D+5.000000   ; AM Zerspanungstechnik S - VHM 5mm TiSin (M6) (CmUhsr)
T326   P326   X+0.000000   Y+0.000000   Z+0.000000   D+4.200000   ; AM Zerspanungstechnik S - VHM 4,2mm TiSin (M5) (gYtcDz)
T327   P327   X+0.000000   Y+0.000000   Z+0.000000   D+5.800000   ; BB S - VHM 5,8mm DLC (ZmKAVW)
T330   P330   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; BB S - CNC Reamer 6mm h7 (uCsTpt)
T340   P340   X+0.000000   Y+0.000000   Z+0.000000   D+6.000000   ; HC Maschinentechnik S - Fasefräser 6x90 z3 (Wn6a76)
T341   P341   X+0.000000   Y+0.000000   Z+0.000000   D+4.000000   ; HC Maschinentechnik.de S - VHM Spotdrill 4mm TiAin (7e0AZi)
T350   P350   X+0.000000   Y+0.000000   Z+0.000000   D+21.000000  ; Inserts: APMT1135PDER-M2 VP15TF (Mitsubishi Material) S - TAP300R 21-M10-2t (7BEtEM)
